ID,Тип,Артикул,"GTIN, UPC, EAN или ISBN",Имя,Опубликован,Рекомендуемый?,Видимость в каталоге,Краткое описание,Описание,Дата начала действия скидки,Дата окончания действия скидки,Статус налога,Налоговый класс,Наличие,Запасы,Величина малых запасов,Возможен ли предзаказ?,Продано индивидуально?,Вес (кг),Длина (см),Ширина (см),Высота (см),Разрешить отзывы от клиентов?,Примечание к покупке,Акционная цена,Базовая цена,Категории,Метки,Класс доставки,Изображения,Лимит скачивания,Дней срока скачивания,Родительский,Сгруппированные товары,Апсэлы,Кросселы,Внешний URL,Текст кнопки,Позиция,Бренды,Мета: _eael_post_view_count,Название атрибута 1,Значения атрибутов 1,Видимость атрибута 1,Глобальный атрибут 1,Мета: _uwp_source_url,Мета: _uwp_content_hash
,simple,,,AQUASOFT Flow,1,0,visible,<ul><li>3 ступеней очистки</li><li>Насос: нет</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,35000,52500,,,,https://habarovsk.vagner-ural.ru/media/product/2025/04/23/1u07bx3vafalfjhfi2bzpdchpm7qkzmp.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquasoft-flow/,b7ed48290e75e6de2f27eb2132a64362
,simple,,,AQUASOFT Basic-5,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: нет</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,56990,85485,,,,https://habarovsk.vagner-ural.ru/media/product/2024/05/01/1_n7sAyL3.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/filtr-aquila-np-5-bez-nasosa/,3352811cb897a86f592547de45b4c42a
,simple,,,Aквафор DWM-101S,1,0,visible,<ul><li>4 ступеней очистки</li><li>Насос: нет</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,107000,160500,,,,https://habarovsk.vagner-ural.ru/media/product/2025/08/03/1.png,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/akvafor-dwm-101s/,d7fd0266d08f87f5eb9134a7ab5eeaa6
,simple,,,Аквафор DWM-102S,1,0,visible,<ul><li>4 ступеней очистки</li><li>Насос: нет</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,133000,199500,,,,https://habarovsk.vagner-ural.ru/media/product/2025/08/03/1_7jSxN3E.png,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/akvafor-dwm-102s-pro/,a48e59d022406ed154150652e42b2f82
,simple,,,Hubert без помпы,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: нет</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,68300,102450,,,,https://habarovsk.vagner-ural.ru/media/product/2024/04/16/fe-105kz.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/hubert-bez-pompy/,e6e474e722f3868141751e730ab393d9
,simple,,,AQUASOFT Classic-5,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,67990,101985,,,,https://habarovsk.vagner-ural.ru/media/product/2024/04/29/classic-5.webp,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/filtr-aquila-wp-5/,ec5deb69a9020a8490a2af9436ffd02e
,simple,,,AQUASOFT Classic-6,1,0,visible,<ul><li>6 ступеней очистки</li><li>Насос: Да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,73990,110985,,,,https://habarovsk.vagner-ural.ru/media/product/2024/04/30/1.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquila-classic-6/,de9af6b32832e9052cc5d4fdbb170983
,simple,,,Hubert с помпой,1,0,visible,<ul><li>5 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,78400,117600,,,,https://habarovsk.vagner-ural.ru/media/product/2024/04/16/hubert_pump.jpeg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/hubert-fe-105-s-pompoj/,e795579ce44c3bb8824597e77852e8fe
,simple,,,AQUASOFT Classic-7,1,0,visible,<ul><li>7 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,79990,119985,,,,https://habarovsk.vagner-ural.ru/media/product/2024/04/30/1_nMpotWH.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/aquasoft-classic-7/,64b8c12677c2bf5804d4089772b14bdf
,simple,,,Hubert 7ст (с помпой),1,0,visible,<ul><li>7 ступеней очистки</li><li>Насос: да</li><li>Гарантия 2 года</li></ul>,,,,taxable,,1,,,0,0,,,,,1,,85000,127500,,,,https://habarovsk.vagner-ural.ru/media/product/2025/11/23/69402836992030.jpg,,,,,,,,,0,,,,,,,https://habarovsk.vagner-ural.ru/product/hubert-7st-s-pompoj/,309f852690df83a309df2f86f4474a33
